杨印宝,高级会计师
沈宗敏,高级政工师
黄振光,高级工程师
林伟光,NONE
阮希玮,NONE
李明智,NONE
徐鹏,NONE
赵健,高级工程师
王志华,NONE
钟安刚,高级经济师
龙江,NONE
王明辉,高级经济师
潘力,高级工程师
李灼贤,高级工程师
鲁石,NONE
罗玉平,NONE
钟信才,NONE
庄坚毅,NONE
钟信才,NONE
潘杰,NONE
何勇,NONE
张绍仓,高级政工师
张绍仓,高级经济师
张绍仓,省劳动模范
方平,高级经济师
白泰平,高级经济师
张飞飞,NONE
周义德,高级经济师
刘先超,高级经济师
李建平,NONE
孙宏伟,高级经济师
孙宏伟,市劳动模范
张守斌,高级经济师
孙洪武,高级经济师
孙洪武,注册会计师
赵友永,高级会计师
郭金东,高级经济师
孙健,NONE
许华,NONE
赵辉,NONE
关敬如,NONE
张荣刚,NONE
章高路,NONE
王勇,NONE
刘著平,NONE
刘忠明,高级工程师
谭应球,NONE
张玉玺,NONE
刘林平,NONE
孙敏,高级工程师
孙敏,政府特殊津贴
蒋林生,高级工程师
王锡高,高级工程师
邱天高,NONE
葛维玲,高级经济师
张志忠,高级工程师
张志忠,高级经济师
张志忠,省劳动模范
曹新彤,高级经济师
董柏,高级政工师
董柏,高级经济师
刘春奇,高级工程师
邵乐冲,高级工程师
邵乐冲,政府特殊津贴
顾地民,高级工程师
罗福乾,高级经济师
毛鹏茜,高级政工师
毛鹏茜,高级经济师
梁习明,高级工程师
张茂立,高级工程师
李作荣,高级工程师
安礼如,高级工程师
安礼如,高级经济师
冯东青,高级政工师
任君,高级会计师
贺炜,NONE
王瑛,NONE
王宜明,NONE
厉天福,NONE
宋波,NONE
郭为,NONE
张吉生,NONE
周敏敏,NONE
朱关湖,NONE
孟虎,高级会计师
王天林,高级工程师
王天林,高级经济师
高继胜,NONE
鲁冠球,高级经济师
鲁冠球,全国劳动模范
吴新元,高级政工师
何道峰,NONE
谢勇,NONE
张慕冉,NONE
李强,NONE
杨修福,高级工程师
王瑄,NONE
李荣家,高级经济师
唐大楷,高级经济师
孙志诚,NONE
薛季民,高级会计师
詹军道,高级政工师
詹军道,高级经济师
高建平,高级政工师
高建平,高级经济师
马永庆,NONE
姜杰,NONE
陈光辉,高级经济师
苏中俊,高级工程师
龙勇,高级经济师
刘悉承,NONE
马骧,NONE
俞发祥,NONE
傅建中,NONE
纪道林,高级经济师
丁波,NONE
郭怀保,NONE
袁秀平,高级工程师
袁秀平,政府特殊津贴
谢明,高级经济师
刘淼,NONE
李汉华,高级政工师
张骏原,高级政工师
薛国俊,高级工程师
韩立彬,高级会计师
赵序宏,高级经济师
曲大利,高级经济师
景柱,高级工程师
秦全权,高级工程师
陈林,NONE
周明轩,NONE
周润,NONE
邹敦华,高级工程师
吴成文,高级经济师
麦庆华,高级会计师
胡成中,高级经济师
许良飞,高级工程师
许良飞,高级会计师
王伟良,高级工程师
陈学军,高级经济师
刘凤堂,高级经济师
冯大为,高级工程师
徐文元,NONE
黄葆源,NONE
周小溪,NONE
程高潮,高级政工师
李峰林,高级经济师
马培林,NONE
项永春,高级工程师
罗宏,高级工程师
瞿林,高级经济师
苏伟国,高级经济师
苏江华,NONE
郭新荣,NONE
朱开友,NONE
徐明君,NONE
徐小文,NONE
罗劲,NONE
马中文,NONE
成钧,NONE
王志伟,NONE
张金铸,高级经济师
王志伟,NONE
朱要文,NONE
马世春,NONE
张本正,NONE
张喜民,NONE
郭元林,高级工程师
李义,高级工程师
乔志城,NONE
乔志城,NONE
王书贵,NONE
廖志扬,NONE
雷励,高级工程师
王小军,高级经济师
袁永红,NONE
曹华斌,高级工程师
陈克根,NONE
游宪生,NONE
何尔涛,高级经济师
刘健,NONE
刘平山,NONE
付志明,NONE
汪俊林,市劳动模范
杨先本,NONE
李占通,NONE
高续纯,高级工程师
高续纯,全国劳动模范
李树明,高级经济师
刘建平,高级经济师
荣十庆,高级经济师
赵家国,高级政工师
赵家国,高级经济师
张立忠,高级工程师
王效金,高级经济师
刘俊德,高级会计师
王锋,高级经济师
曹杰,市劳动模范
余林,NONE
梁金辉,NONE
陈钢,高级工程师
董增贺,高级工程师
刘震,高级经济师
魏海军,NONE
任建新,高级工程师
任建新,政府特殊津贴
杨兴强,NONE
陆韶华,高级工程师
谭建明,NONE
杨光,NONE
